flight,point_time,flight_date_pst,point_time_pst_clean,altitude,ground_speed,heading,lat,lon,icao,call_sign,leg_id,flight_leg,geometry
,2025-01-30 15:26:36.670,2025-01-30,07:26:36,5250,0.7,0.0,35.038938,-106.619682,0d086e,,1,,POINT (-106.619682 35.038938)
XAUCI   ,2025-01-30 15:26:49.030,2025-01-30,07:26:49,5250,0.7,0.0,35.038971,-106.61968,0d086e,XAUCI,1,XAUCI_2025-01-30_leg1,POINT (-106.61968 35.038971)
,2025-01-30 15:26:55.880,2025-01-30,07:26:55,5250,0.7,0.0,35.038938,-106.619682,0d086e,XAUCI,1,XAUCI_2025-01-30_leg1,POINT (-106.619682 35.038938)
,2025-01-30 15:27:14.010,2025-01-30,07:27:14,5250,0.7,0.0,35.038938,-106.619682,0d086e,XAUCI,1,XAUCI_2025-01-30_leg1,POINT (-106.619682 35.038938)
,2025-01-30 15:27:30.460,2025-01-30,07:27:30,5250,0.7,0.0,35.038971,-106.61968,0d086e,XAUCI,1,XAUCI_2025-01-30_leg1,POINT (-106.61968 35.038971)
XAUCI   ,2025-01-30 15:27:50.280,2025-01-30,07:27:50,5250,0.7,0.0,35.038971,-106.61968,0d086e,XAUCI,1,XAUCI_2025-01-30_leg1,POINT (-106.61968 35.038971)
,2025-01-30 15:28:09.370,2025-01-30,07:28:09,5250,0.7,0.0,35.038971,-106.61968,0d086e,XAUCI,1,XAUCI_2025-01-30_leg1,POINT (-106.61968 35.038971)
,2025-01-30 15:28:29.110,2025-01-30,07:28:29,5250,0.7,0.0,35.038971,-106.61968,0d086e,XAUCI,1,XAUCI_2025-01-30_leg1,POINT (-106.61968 35.038971)
,2025-01-30 15:28:48.740,2025-01-30,07:28:48,5250,0.7,0.0,35.038985,-106.619682,0d086e,XAUCI,1,XAUCI_2025-01-30_leg1,POINT (-106.619682 35.038985)
XAUCI   ,2025-01-30 15:29:08.430,2025-01-30,07:29:08,5250,0.7,0.0,35.038985,-106.619682,0d086e,XAUCI,1,XAUCI_2025-01-30_leg1,POINT (-106.619682 35.038985)
,2025-01-30 15:29:27.330,2025-01-30,07:29:27,5250,0.7,0.0,35.038971,-106.61968,0d086e,XAUCI,1,XAUCI_2025-01-30_leg1,POINT (-106.61968 35.038971)
,2025-01-30 15:29:45.900,2025-01-30,07:29:45,5225,0.7,0.0,35.038971,-106.61968,0d086e,XAUCI,1,XAUCI_2025-01-30_leg1,POINT (-106.61968 35.038971)
,2025-01-30 15:30:05.110,2025-01-30,07:30:05,5225,0.7,0.0,35.038985,-106.619682,0d086e,XAUCI,1,XAUCI_2025-01-30_leg1,POINT (-106.619682 35.038985)
XAUCI   ,2025-01-30 15:30:23.220,2025-01-30,07:30:23,5225,0.7,0.0,35.038971,-106.61968,0d086e,XAUCI,1,XAUCI_2025-01-30_leg1,POINT (-106.61968 35.038971)
,2025-01-30 15:30:43.130,2025-01-30,07:30:43,5250,0.7,0.0,35.038971,-106.61968,0d086e,XAUCI,1,XAUCI_2025-01-30_leg1,POINT (-106.61968 35.038971)
,2025-01-30 15:31:01.570,2025-01-30,07:31:01,5250,0.7,0.0,35.038985,-106.619682,0d086e,XAUCI,1,XAUCI_2025-01-30_leg1,POINT (-106.619682 35.038985)
,2025-01-30 15:31:21.120,2025-01-30,07:31:21,5250,0.7,0.0,35.038971,-106.61968,0d086e,XAUCI,1,XAUCI_2025-01-30_leg1,POINT (-106.61968 35.038971)
XAUCI   ,2025-01-30 15:31:39.110,2025-01-30,07:31:39,5250,0.7,0.0,35.038985,-106.619682,0d086e,XAUCI,1,XAUCI_2025-01-30_leg1,POINT (-106.619682 35.038985)
,2025-01-30 15:31:55.890,2025-01-30,07:31:55,5250,0.7,0.0,35.038971,-106.61968,0d086e,XAUCI,1,XAUCI_2025-01-30_leg1,POINT (-106.61968 35.038971)
,2025-01-30 15:32:12.840,2025-01-30,07:32:12,5250,0.7,0.0,35.038985,-106.619682,0d086e,XAUCI,1,XAUCI_2025-01-30_leg1,POINT (-106.619682 35.038985)
,2025-01-30 15:32:32.730,2025-01-30,07:32:32,5250,0.7,0.0,35.038985,-106.619682,0d086e,XAUCI,1,XAUCI_2025-01-30_leg1,POINT (-106.619682 35.038985)
XAUCI   ,2025-01-30 15:32:52.510,2025-01-30,07:32:52,5250,0.7,0.0,35.038985,-106.619682,0d086e,XAUCI,1,XAUCI_2025-01-30_leg1,POINT (-106.619682 35.038985)
,2025-01-30 15:33:11.820,2025-01-30,07:33:11,5250,0.7,0.0,35.038985,-106.619682,0d086e,XAUCI,1,XAUCI_2025-01-30_leg1,POINT (-106.619682 35.038985)
,2025-01-30 15:33:28.550,2025-01-30,07:33:28,5250,0.7,0.0,35.038985,-106.619682,0d086e,XAUCI,1,XAUCI_2025-01-30_leg1,POINT (-106.619682 35.038985)
,2025-01-30 15:33:46.080,2025-01-30,07:33:46,5250,0.7,0.0,35.038985,-106.619682,0d086e,XAUCI,1,XAUCI_2025-01-30_leg1,POINT (-106.619682 35.038985)
XAUCI   ,2025-01-30 15:34:04.570,2025-01-30,07:34:04,5250,0.7,0.0,35.038985,-106.619682,0d086e,XAUCI,1,XAUCI_2025-01-30_leg1,POINT (-106.619682 35.038985)
,2025-01-30 15:34:22.550,2025-01-30,07:34:22,5250,0.7,0.0,35.038985,-106.619682,0d086e,XAUCI,1,XAUCI_2025-01-30_leg1,POINT (-106.619682 35.038985)
,2025-01-30 15:34:38.800,2025-01-30,07:34:38,5250,0.7,0.0,35.038971,-106.61968,0d086e,XAUCI,1,XAUCI_2025-01-30_leg1,POINT (-106.61968 35.038971)
,2025-01-30 15:34:58.760,2025-01-30,07:34:58,5250,0.7,0.0,35.038985,-106.619682,0d086e,XAUCI,1,XAUCI_2025-01-30_leg1,POINT (-106.619682 35.038985)
XAUCI   ,2025-01-30 15:35:14.580,2025-01-30,07:35:14,5250,0.7,0.0,35.038971,-106.61968,0d086e,XAUCI,1,XAUCI_2025-01-30_leg1,POINT (-106.61968 35.038971)
,2025-01-30 15:35:33.510,2025-01-30,07:35:33,5250,0.7,0.0,35.038971,-106.61968,0d086e,XAUCI,1,XAUCI_2025-01-30_leg1,POINT (-106.61968 35.038971)
,2025-01-30 15:35:51.490,2025-01-30,07:35:51,5250,0.7,0.0,35.038985,-106.619682,0d086e,XAUCI,1,XAUCI_2025-01-30_leg1,POINT (-106.619682 35.038985)
,2025-01-30 15:36:08.170,2025-01-30,07:36:08,5250,0.7,0.0,35.038971,-106.61968,0d086e,XAUCI,1,XAUCI_2025-01-30_leg1,POINT (-106.61968 35.038971)
,2025-01-30 15:36:16.210,2025-01-30,07:36:16,5250,0.7,0.0,35.038985,-106.619682,0d086e,XAUCI,1,XAUCI_2025-01-30_leg1,POINT (-106.619682 35.038985)
,2025-01-30 15:36:17.570,2025-01-30,07:36:17,5250,1.2,90.0,35.038971,-106.61968,0d086e,XAUCI,1,XAUCI_2025-01-30_leg1,POINT (-106.61968 35.038971)
,2025-01-30 15:36:26.860,2025-01-30,07:36:26,5250,3.1,90.0,35.038985,-106.619568,0d086e,XAUCI,1,XAUCI_2025-01-30_leg1,POINT (-106.619568 35.038985)
,2025-01-30 15:36:28.330,2025-01-30,07:36:28,5250,2.3,63.4,35.038985,-106.619511,0d086e,XAUCI,1,XAUCI_2025-01-30_leg1,POINT (-106.619511 35.038985)
