flight,flight_date_pst,point_time_pst_clean,altitude,ground_speed,heading,lat,lon,icao,call_sign,geometry
,2025-01-29,16:00:16,31200,506.0,78.6,38.221249,-94.810997,a97753,,POINT (-94.810997 38.221249)
JIA5342 ,2025-01-29,16:00:36,31375,510.1,78.6,38.230408,-94.753398,a97753,JIA5342,POINT (-94.753398 38.230408)
,2025-01-29,16:00:56,31550,515.2,78.6,38.239731,-94.694685,a97753,JIA5342,POINT (-94.694685 38.239731)
,2025-01-29,16:01:15,31700,519.1,78.7,38.248994,-94.63641,a97753,JIA5342,POINT (-94.63641 38.248994)
,2025-01-29,16:01:35,31875,522.1,78.7,38.258194,-94.577968,a97753,JIA5342,POINT (-94.577968 38.258194)
JIA5342 ,2025-01-29,16:01:51,32000,524.1,79.9,38.265614,-94.529412,a97753,JIA5342,POINT (-94.529412 38.265614)
,2025-01-29,16:02:00,32075,525.2,81.9,38.26886,-94.502934,a97753,JIA5342,POINT (-94.502934 38.26886)
,2025-01-29,16:02:09,32175,526.0,83.9,38.271526,-94.474421,a97753,JIA5342,POINT (-94.474421 38.271526)
,2025-01-29,16:02:19,32250,526.3,86.0,38.273481,-94.444865,a97753,JIA5342,POINT (-94.444865 38.273481)
JIA5342 ,2025-01-29,16:02:38,32425,529.2,86.2,38.276733,-94.38337,a97753,JIA5342,POINT (-94.38337 38.276733)
,2025-01-29,16:02:58,32575,531.2,86.2,38.279952,-94.321568,a97753,JIA5342,POINT (-94.321568 38.279952)
,2025-01-29,16:03:18,32750,533.2,86.2,38.283164,-94.259173,a97753,JIA5342,POINT (-94.259173 38.283164)
,2025-01-29,16:03:38,32925,535.1,86.4,38.286301,-94.196894,a97753,JIA5342,POINT (-94.196894 38.286301)
JIA5342 ,2025-01-29,16:03:58,33000,538.0,86.5,38.289368,-94.134599,a97753,JIA5342,POINT (-94.134599 38.289368)
,2025-01-29,16:04:18,33000,540.0,86.5,38.292381,-94.071748,a97753,JIA5342,POINT (-94.071748 38.292381)
,2025-01-29,16:04:38,33000,540.0,86.5,38.295407,-94.009114,a97753,JIA5342,POINT (-94.009114 38.295407)
,2025-01-29,16:04:57,33000,539.9,86.6,38.298248,-93.94678,a97753,JIA5342,POINT (-93.94678 38.298248)
JIA5342 ,2025-01-29,16:05:17,33000,539.9,86.7,38.301086,-93.884777,a97753,JIA5342,POINT (-93.884777 38.301086)
,2025-01-29,16:05:37,33000,540.8,86.8,38.303973,-93.821749,a97753,JIA5342,POINT (-93.821749 38.303973)
,2025-01-29,16:05:57,33000,540.9,86.7,38.306766,-93.759593,a97753,JIA5342,POINT (-93.759593 38.306766)
,2025-01-29,16:06:16,33000,541.8,86.8,38.309559,-93.69672,a97753,JIA5342,POINT (-93.69672 38.309559)
JIA5342 ,2025-01-29,16:06:36,33000,541.8,86.8,38.312256,-93.634137,a97753,JIA5342,POINT (-93.634137 38.312256)
,2025-01-29,16:06:56,33000,542.8,86.9,38.314959,-93.571452,a97753,JIA5342,POINT (-93.571452 38.314959)
,2025-01-29,16:07:15,33000,542.8,86.9,38.317566,-93.509654,a97753,JIA5342,POINT (-93.509654 38.317566)
,2025-01-29,16:07:35,33000,543.7,87.1,38.320173,-93.445945,a97753,JIA5342,POINT (-93.445945 38.320173)
JIA5342 ,2025-01-29,16:07:55,33025,542.7,87.0,38.322739,-93.383848,a97753,JIA5342,POINT (-93.383848 38.322739)
,2025-01-29,16:08:15,33000,544.7,87.2,38.325294,-93.320319,a97753,JIA5342,POINT (-93.320319 38.325294)
,2025-01-29,16:08:34,33000,545.7,87.1,38.327761,-93.257685,a97753,JIA5342,POINT (-93.257685 38.327761)
,2025-01-29,16:08:54,33000,545.7,87.1,38.330275,-93.194335,a97753,JIA5342,POINT (-93.194335 38.330275)
JIA5342 ,2025-01-29,16:09:13,33000,546.7,87.2,38.332764,-93.131863,a97753,JIA5342,POINT (-93.131863 38.332764)
,2025-01-29,16:09:33,33000,546.6,87.3,38.33519,-93.068341,a97753,JIA5342,POINT (-93.068341 38.33519)
,2025-01-29,16:09:53,33000,547.6,87.3,38.33757,-93.005404,a97753,JIA5342,POINT (-93.005404 38.33757)
,2025-01-29,16:10:13,33000,548.6,87.4,38.339905,-92.941648,a97753,JIA5342,POINT (-92.941648 38.339905)
JIA5342 ,2025-01-29,16:10:32,33000,549.6,87.4,38.342239,-92.878119,a97753,JIA5342,POINT (-92.878119 38.342239)
,2025-01-29,16:10:52,33000,549.6,87.3,38.34462,-92.814604,a97753,JIA5342,POINT (-92.814604 38.34462)
,2025-01-29,16:11:12,33000,549.6,87.4,38.34694,-92.75106,a97753,JIA5342,POINT (-92.75106 38.34694)
,2025-01-29,16:11:32,33000,549.6,87.4,38.349243,-92.6868,a97753,JIA5342,POINT (-92.6868 38.349243)
JIA5342 ,2025-01-29,16:11:51,33000,550.6,87.4,38.351456,-92.623881,a97753,JIA5342,POINT (-92.623881 38.351456)
,2025-01-29,16:12:11,33000,550.5,87.5,38.353644,-92.560591,a97753,JIA5342,POINT (-92.560591 38.353644)
,2025-01-29,16:12:31,33000,550.5,87.6,38.355789,-92.496234,a97753,JIA5342,POINT (-92.496234 38.355789)
,2025-01-29,16:12:51,33000,550.5,87.6,38.357895,-92.432186,a97753,JIA5342,POINT (-92.432186 38.357895)
JIA5342 ,2025-01-29,16:13:10,33000,551.5,87.6,38.360022,-92.367793,a97753,JIA5342,POINT (-92.367793 38.360022)
,2025-01-29,16:13:30,33000,552.4,87.7,38.362061,-92.303915,a97753,JIA5342,POINT (-92.303915 38.362061)
,2025-01-29,16:13:50,33000,553.4,87.8,38.364025,-92.240017,a97753,JIA5342,POINT (-92.240017 38.364025)
,2025-01-29,16:14:09,33000,553.4,87.7,38.365997,-92.175994,a97753,JIA5342,POINT (-92.175994 38.365997)
JIA5342 ,2025-01-29,16:14:29,33000,553.4,87.8,38.367935,-92.111942,a97753,JIA5342,POINT (-92.111942 38.367935)
,2025-01-29,16:14:49,33000,554.4,87.8,38.369891,-92.047517,a97753,JIA5342,POINT (-92.047517 38.369891)
,2025-01-29,16:15:09,33000,555.4,87.8,38.371846,-91.982375,a97753,JIA5342,POINT (-91.982375 38.371846)
,2025-01-29,16:15:29,33000,555.4,87.9,38.373661,-91.918428,a97753,JIA5342,POINT (-91.918428 38.373661)
JIA5342 ,2025-01-29,16:15:48,33000,556.4,87.8,38.375519,-91.853417,a97753,JIA5342,POINT (-91.853417 38.375519)
,2025-01-29,16:16:08,33000,557.4,87.9,38.377339,-91.788921,a97753,JIA5342,POINT (-91.788921 38.377339)
,2025-01-29,16:16:28,33000,558.4,87.9,38.379135,-91.724386,a97753,JIA5342,POINT (-91.724386 38.379135)
,2025-01-29,16:16:48,33000,558.3,88.2,38.38083,-91.659771,a97753,JIA5342,POINT (-91.659771 38.38083)
JIA5342 ,2025-01-29,16:17:07,33000,559.3,88.1,38.382506,-91.595406,a97753,JIA5342,POINT (-91.595406 38.382506)
,2025-01-29,16:17:27,33000,561.3,88.3,38.384136,-91.530861,a97753,JIA5342,POINT (-91.530861 38.384136)
,2025-01-29,16:17:46,33000,562.3,88.2,38.385773,-91.465798,a97753,JIA5342,POINT (-91.465798 38.385773)
,2025-01-29,16:18:06,33000,562.3,88.3,38.387348,-91.400757,a97753,JIA5342,POINT (-91.400757 38.387348)
JIA5342 ,2025-01-29,16:18:26,33000,563.3,88.3,38.388884,-91.33657,a97753,JIA5342,POINT (-91.33657 38.388884)
,2025-01-29,16:18:46,33000,563.3,88.3,38.39042,-91.270354,a97753,JIA5342,POINT (-91.270354 38.39042)
,2025-01-29,16:19:05,33000,565.2,88.5,38.391956,-91.204734,a97753,JIA5342,POINT (-91.204734 38.391956)
,2025-01-29,16:19:25,33000,565.3,88.3,38.3934,-91.139652,a97753,JIA5342,POINT (-91.139652 38.3934)
JIA5342 ,2025-01-29,16:19:45,33000,565.2,88.5,38.394796,-91.07457,a97753,JIA5342,POINT (-91.07457 38.394796)
,2025-01-29,16:20:04,33000,566.2,88.5,38.396193,-91.008712,a97753,JIA5342,POINT (-91.008712 38.396193)
,2025-01-29,16:20:24,33000,567.2,88.6,38.397496,-90.942137,a97753,JIA5342,POINT (-90.942137 38.397496)
,2025-01-29,16:20:44,33000,567.2,88.6,38.3988,-90.876816,a97753,JIA5342,POINT (-90.876816 38.3988)
JIA5342 ,2025-01-29,16:21:04,33000,568.2,88.6,38.400055,-90.81106,a97753,JIA5342,POINT (-90.81106 38.400055)
,2025-01-29,16:21:23,33000,569.1,88.7,38.401313,-90.744563,a97753,JIA5342,POINT (-90.744563 38.401313)
,2025-01-29,16:21:43,33000,569.1,88.7,38.402527,-90.67864,a97753,JIA5342,POINT (-90.67864 38.402527)
,2025-01-29,16:22:03,33000,569.1,88.7,38.403688,-90.612667,a97753,JIA5342,POINT (-90.612667 38.403688)
JIA5342 ,2025-01-29,16:22:23,33000,569.1,88.7,38.404816,-90.546687,a97753,JIA5342,POINT (-90.546687 38.404816)
,2025-01-29,16:22:42,33000,570.1,88.8,38.405922,-90.480771,a97753,JIA5342,POINT (-90.480771 38.405922)
,2025-01-29,16:23:02,33000,571.1,88.9,38.406967,-90.415377,a97753,JIA5342,POINT (-90.415377 38.406967)
,2025-01-29,16:23:21,33000,572.1,88.9,38.40797,-90.349831,a97753,JIA5342,POINT (-90.349831 38.40797)
JIA5342 ,2025-01-29,16:23:41,33000,572.1,88.9,38.408948,-90.284629,a97753,JIA5342,POINT (-90.284629 38.408948)
,2025-01-29,16:24:01,33000,573.1,88.9,38.409943,-90.216922,a97753,JIA5342,POINT (-90.216922 38.409943)
